period,grants,concessional,blended,nonconcessional
IDA17-1,2.05,4.74,2.97,3.12
IDA17-2,1.73,5.52,3.15,2.77
IDA17-3,2.06,5.73,2.50,2.36
IDA18-1,2.84,6.96,2.39,2.15
IDA18-2,4.00,7.51,4.46,1.54
IDA18-3,4.73,8.55,5.30,2.58
IDA19-1,6.25,8.43,6.18,1.85
IDA19-2,5.40,8.56,5.85,1.41
IDA20-1,7.17,11.19,7.08,2.15
IDA20-2,7.19,12.07,8.13,0.85
IDA20-3,8.33,12.91,6.54,5.14
IDA21-1,6.74,15.15,10.57,3.14
IDA21-2,6.74,16.62,11.59,3.45
IDA21-3,6.74,18.24,12.72,3.78
IDA22-1,6.74,19.98,13.93,4.14
IDA22-2,6.74,21.86,15.24,4.53
IDA22-3,6.74,23.89,16.66,4.95
