year,top10,middle40,bottom50
1800,50,36,15
1801,50,36,15
1802,50,35,15
1803,50,35,15
1804,50,35,15
1805,50,35,15
1806,50,36,14
1807,50,36,14
1808,50,36,14
1809,50,36,14
1810,50,36,14
1811,50,36,15
1812,50,36,15
1813,50,36,15
1814,50,36,15
1815,50,36,14
1816,50,36,14
1817,50,36,14
1818,50,36,14
1819,50,36,14
1820,50,35,14
1821,51,35,14
1822,51,35,14
1823,51,35,14
1824,51,35,14
1825,51,35,14
1826,51,35,14
1827,51,35,14
1828,51,35,14
1829,51,35,14
1830,51,35,14
1831,51,35,14
1832,51,35,14
1833,51,35,14
1834,51,35,14
1835,52,35,13
1836,52,35,13
1837,52,35,13
1838,52,35,13
1839,52,35,13
1840,52,35,13
1841,52,35,13
1842,52,35,13
1843,52,35,13
1844,52,34,13
1845,53,34,13
1846,53,34,13
1847,53,34,13
1848,53,34,13
1849,53,34,13
1850,54,34,12
1851,54,34,12
1852,54,34,12
1853,54,34,12
1854,55,33,12
1855,55,33,12
1856,55,33,12
1857,55,33,12
1858,55,34,12
1859,55,33,12
1860,55,33,11
1861,55,33,11
1862,55,33,11
1863,56,33,11
1864,56,33,11
1865,56,33,11
1866,56,33,11
1867,56,33,11
1868,56,33,11
1869,56,33,11
1870,56,34,11
1871,56,33,11
1872,56,33,10
1873,57,33,10
1874,56,33,10
1875,57,33,10
1876,57,33,10
1877,56,34,10
1878,56,34,10
1879,57,33,10
1880,57,33,10
1881,57,33,10
1882,58,33,9
1883,58,33,9
1884,58,33,9
1885,58,33,9
1886,58,33,9
1887,58,33,9
1888,58,33,9
1889,58,32,9
1890,59,32,9
1891,59,32,9
1892,59,32,9
1893,58,33,9
1894,58,33,9
1895,58,33,9
1896,58,33,9
1897,58,33,9
1898,59,32,9
1899,59,32,9
1900,59,32,9
1901,59,32,9
1902,60,32,9
1903,59,32,9
1904,59,32,9
1905,60,32,9
1906,60,32,9
1907,60,31,8
1908,59,32,9
1909,60,32,9
1910,59,32,9
1911,59,33,9
1912,59,33,9
1913,58,33,9
1914,57,34,9
1915,57,34,9
1916,58,33,9
1917,58,34,9
1918,59,33,9
1919,58,33,9
1920,57,34,9
1921,57,35,9
1922,56,35,9
1923,56,35,8
1924,56,36,8
1925,55,36,9
1926,55,37,9
1927,54,37,8
1928,54,38,9
1929,54,38,8
1930,53,38,9
1931,52,39,9
1932,51,39,9
1933,52,39,9
1934,52,39,9
1935,52,39,9
1936,52,39,9
1937,52,39,9
1938,53,39,8
1939,53,39,8
1940,53,39,8
1941,54,38,8
1942,55,38,8
1943,56,37,8
1944,57,35,8
1945,57,34,8
1946,55,36,9
1947,54,37,9
1948,54,37,9
1949,53,38,9
1950,53,38,8
1951,53,39,9
1952,52,39,9
1953,52,39,9
1954,52,40,8
1955,52,40,8
1956,51,40,9
1957,51,41,8
1958,51,41,8
1959,51,41,8
1960,51,41,7
1961,52,42,6
1962,52,41,6
1963,52,41,7
1964,52,41,7
1965,52,41,7
1966,52,41,6
1967,52,42,6
1968,52,42,6
1969,52,42,6
1970,52,42,6
1971,52,42,6
1972,52,42,6
1973,52,42,6
1974,53,42,6
1975,52,42,6
1976,53,42,6
1977,53,42,6
1978,53,42,6
1979,53,41,6
1980,53,42,6
1981,53,41,6
1982,52,41,6
1983,53,41,6
1984,53,41,6
1985,53,40,6
1986,54,40,6
1987,54,40,6
1988,54,39,6
1989,55,39,6
1990,55,39,6
1991,55,38,6
1992,56,37,6
1993,56,37,6
1994,57,37,6
1995,57,37,7
1996,57,36,7
1997,57,36,7
1998,58,36,7
1999,58,35,7
2000,58,35,7
2001,58,36,7
2002,57,36,7
2003,57,36,7
2004,57,36,7
2005,57,36,7
2006,56,37,7
2007,56,37,7
2008,55,38,7
2009,54,38,8
2010,54,38,8
2011,54,39,8
2012,53,39,8
2013,53,39,8
2014,53,39,8
2015,52,40,8
2016,52,40,8
2017,52,40,8
2018,52,40,8
2019,52,40,8
2020,51,40,8
2021,52,40,8
2022,52,40,8
2023,52,40,8
2024,52,40,8
2025,52,40,8
2026,49,42,9
2027,47,42,10
2028,46,43,11
2029,45,43,12
2030,44,43,13
2031,43,43,14
2032,42,43,14
2033,41,43,15
2034,41,43,16
2035,40,44,17
2036,39,44,17
2037,38,44,18
2038,37,44,19
2039,37,44,20
2040,36,44,20
2041,35,44,21
2042,34,44,22
2043,33,44,23
2044,32,44,24
2045,31,44,24
2046,31,44,25
2047,30,44,26
2048,29,44,27
2049,28,44,28
2050,27,44,29
2051,27,44,29
2052,27,44,29
2053,26,44,29
2054,26,44,29
2055,26,44,30
2056,26,45,30
2057,25,45,30
2058,25,45,30
2059,25,45,31
2060,25,45,31
2061,24,45,31
2062,24,45,31
2063,24,45,31
2064,24,45,32
2065,24,45,32
2066,23,45,32
2067,23,45,32
2068,23,44,33
2069,23,44,33
2070,23,44,33
2071,22,44,33
2072,22,44,33
2073,22,44,34
2074,22,44,34
2075,22,44,34
2076,22,44,34
2077,22,44,34
2078,21,44,34
2079,21,44,35
2080,21,44,35
2081,21,44,35
2082,21,44,35
2083,21,44,35
2084,20,44,35
2085,20,44,36
2086,20,44,36
2087,20,44,36
2088,20,44,36
2089,20,44,36
2090,20,44,36
2091,19,44,37
2092,19,44,37
2093,19,44,37
2094,19,44,37
2095,19,44,37
2096,19,44,37
2097,19,44,37
2098,18,44,38
2099,18,44,38
2100,18,44,38
